dataset,noniid,seed,method,accuracy,f1_score,ece
pneumoniamnist,moderate,442,EqualWt-Ens,0.6378205128205128,0.38943248532289626,0.15649007642880466
pneumoniamnist,moderate,442,Ours-Dropout,0.8365384615384616,0.8052839608903682,0.11287975464111721
pneumoniamnist,moderate,442,Abl:No CapMul,0.6378205128205128,0.38943248532289626,0.14262175999390775
pneumoniamnist,moderate,442,Abl:No Conf,0.7403846153846154,0.6461644008232642,0.06083796058709802
pneumoniamnist,moderate,442,Abl:No ECE,0.6378205128205128,0.38943248532289626,0.22089879424908226
pneumoniamnist,moderate,442,Abl:No Bonus,0.7756410256410257,0.7081930415263749,0.15995473089890605
pneumoniamnist,moderate,442,Abl:No PoC,0.6378205128205128,0.38943248532289626,0.30324193357657164
pneumoniamnist,severe,42,Centralized,0.9134615384615384,0.9024085079762276,0.05693361430596079
pneumoniamnist,severe,42,Local-Weak,0.6378205128205128,0.38943248532289626,0.36201086563941764
pneumoniamnist,severe,42,Local-Best,0.6378205128205128,0.38943248532289626,0.36201086563941764
pneumoniamnist,severe,42,Local-Medium,0.6378205128205128,0.38943248532289626,0.27768668455955314
pneumoniamnist,severe,42,Local-Strong,0.6378205128205128,0.38943248532289626,0.3621794871794872
pneumoniamnist,severe,42,FedAvg,0.9006410256410257,0.8879505091578911,0.059033209314713134
pneumoniamnist,severe,42,FedProx,0.6378205128205128,0.38943248532289626,0.35566319907322913
pneumoniamnist,severe,42,FedMD,0.6442307692307693,0.4161735700197239,0.09114383810605758
pneumoniamnist,severe,42,Ours,0.6378205128205128,0.38943248532289626,0.3407581142890148
pneumoniamnist,severe,42,EqualWt-Ens,0.6378205128205128,0.38943248532289626,0.3410876087653332
pneumoniamnist,severe,42,Ours-Dropout,0.6378205128205128,0.38943248532289626,0.2867275170790844
pneumoniamnist,severe,42,Abl:No CapMul,0.6378205128205128,0.38943248532289626,0.3407576970565014
pneumoniamnist,severe,42,Abl:No Conf,0.6378205128205128,0.38943248532289626,0.34008183998939323
pneumoniamnist,severe,42,Abl:No ECE,0.6378205128205128,0.38943248532289626,0.3418146662223034
pneumoniamnist,severe,42,Abl:No Bonus,0.6378205128205128,0.38943248532289626,0.3406248979079418
pneumoniamnist,severe,42,Abl:No PoC,0.6378205128205128,0.38943248532289626,0.2577817869874148
pneumoniamnist,severe,142,Centralized,0.8589743589743589,0.8314921196052438,0.12356203660751006
pneumoniamnist,severe,142,Local-Weak,0.6378205128205128,0.38943248532289626,0.1401549868094616
pneumoniamnist,severe,142,Local-Best,0.8814102564102564,0.8627658436262913,0.0922266053847778
pneumoniamnist,severe,142,Local-Medium,0.8814102564102564,0.8627658436262913,0.0922266053847778
pneumoniamnist,severe,142,Local-Strong,0.6378205128205128,0.38943248532289626,0.36217608971473503
pneumoniamnist,severe,142,FedAvg,0.8461538461538461,0.8375,0.06614163250495228
pneumoniamnist,severe,142,FedProx,0.6410256410256411,0.3989680082559339,0.352588808689362
pneumoniamnist,severe,142,FedMD,0.6378205128205128,0.38943248532289626,0.19364352982777813
pneumoniamnist,severe,142,Ours,0.8237179487179487,0.780064852671648,0.1605421604636388
pneumoniamnist,severe,142,EqualWt-Ens,0.8301282051282052,0.7895513840279987,0.258422124844331
pneumoniamnist,severe,142,Ours-Dropout,0.8076923076923077,0.7537749250276213,0.13007090546381778
pneumoniamnist,severe,142,Abl:No CapMul,0.8205128205128205,0.7736201088364861,0.13587458355304524
pneumoniamnist,severe,142,Abl:No Conf,0.8205128205128205,0.7752623996707142,0.15833756709710145
pneumoniamnist,severe,142,Abl:No ECE,0.8493589743589743,0.8182967175941416,0.26387562640966516
pneumoniamnist,severe,142,Abl:No Bonus,0.8205128205128205,0.7752623996707142,0.14148963682162455
pneumoniamnist,severe,142,Abl:No PoC,0.6378205128205128,0.38943248532289626,0.21006990625308108
pneumoniamnist,severe,242,Centralized,0.8717948717948718,0.8528301886792453,0.09633152664471893
pneumoniamnist,severe,242,Local-Weak,0.6378205128205128,0.38943248532289626,0.3605051331031017
pneumoniamnist,severe,242,Local-Best,0.907051282051282,0.8984089913881186,0.07184903438274678
pneumoniamnist,severe,242,Local-Medium,0.36217948717948717,0.26588235294117646,0.2689616985810109
pneumoniamnist,severe,242,Local-Strong,0.907051282051282,0.8984089913881186,0.07184903438274678
pneumoniamnist,severe,242,FedAvg,0.6378205128205128,0.38943248532289626,0.3616684965598278
pneumoniamnist,severe,242,FedProx,0.6378205128205128,0.38943248532289626,0.34684507816265797
pneumoniamnist,severe,242,FedMD,0.6538461538461539,0.4565161290322581,0.01690505979916988
pneumoniamnist,severe,242,Ours,0.6474358974358975,0.6456741689035721,0.06687704531046065
pneumoniamnist,severe,242,EqualWt-Ens,0.7115384615384616,0.7115266077665914,0.13574543614418078
pneumoniamnist,severe,242,Ours-Dropout,0.8717948717948718,0.8601586661288154,0.15498858078932148
pneumoniamnist,severe,242,Abl:No CapMul,0.7339743589743589,0.7339060204071147,0.1554819660691115
pneumoniamnist,severe,242,Abl:No Conf,0.6282051282051282,0.6251864125932063,0.22104431879826084
pneumoniamnist,severe,242,Abl:No ECE,0.6730769230769231,0.6724173426112736,0.07020728557537766
pneumoniamnist,severe,242,Abl:No Bonus,0.6346153846153846,0.6320602474448629,0.21491760894274098
pneumoniamnist,severe,242,Abl:No PoC,0.6378205128205128,0.38943248532289626,0.18250032208668882
pneumoniamnist,severe,342,Centralized,0.8044871794871795,0.7506256633341633,0.15712354427728895
pneumoniamnist,severe,342,Local-Weak,0.36217948717948717,0.26588235294117646,0.37535694317939955
pneumoniamnist,severe,342,Local-Best,0.6410256410256411,0.3989680082559339,0.3508363364216609
pneumoniamnist,severe,342,Local-Medium,0.6410256410256411,0.3989680082559339,0.3508363364216609
pneumoniamnist,severe,342,Local-Strong,0.36217948717948717,0.26588235294117646,0.6368305392754383
pneumoniamnist,severe,342,FedAvg,0.6378205128205128,0.38943248532289626,0.32019072006910276
pneumoniamnist,severe,342,FedProx,0.6378205128205128,0.38943248532289626,0.31366476340171623
pneumoniamnist,severe,342,FedMD,0.8493589743589743,0.823713980019956,0.20519338013269967
pneumoniamnist,severe,342,Ours,0.36217948717948717,0.26588235294117646,0.15443593664811206
pneumoniamnist,severe,342,EqualWt-Ens,0.36217948717948717,0.26588235294117646,0.1976752701478127
pneumoniamnist,severe,342,Ours-Dropout,0.6730769230769231,0.4867096774193549,0.16229231693805787
pneumoniamnist,severe,342,Abl:No CapMul,0.6730769230769231,0.4867096774193549,0.16175324030411542
pneumoniamnist,severe,342,Abl:No Conf,0.36217948717948717,0.26588235294117646,0.1652166002835983
pneumoniamnist,severe,342,Abl:No ECE,0.36217948717948717,0.26588235294117646,0.211376700263757
pneumoniamnist,severe,342,Abl:No Bonus,0.6634615384615384,0.46174194502407045,0.14265193465428472
pneumoniamnist,severe,342,Abl:No PoC,0.36217948717948717,0.26588235294117646,0.21871807903815538
pneumoniamnist,severe,442,Centralized,0.7980769230769231,0.7424494555746275,0.17439727657116377
pneumoniamnist,severe,442,Local-Weak,0.6378205128205128,0.38943248532289626,0.04138735013130379
pneumoniamnist,severe,442,Local-Best,0.8461538461538461,0.8150197628458498,0.11285779797113855
pneumoniamnist,severe,442,Local-Medium,0.6378205128205128,0.38943248532289626,0.011313348244398114
pneumoniamnist,severe,442,Local-Strong,0.8461538461538461,0.8150197628458498,0.11285779797113855
pneumoniamnist,severe,442,FedAvg,0.8685897435897436,0.8444079547527823,0.08156139288957301
pneumoniamnist,severe,442,FedProx,0.6378205128205128,0.38943248532289626,0.3389558054697819
pneumoniamnist,severe,442,FedMD,0.6378205128205128,0.38943248532289626,0.08758922226918048
pneumoniamnist,severe,442,Ours,0.7980769230769231,0.7384187482533303,0.16951651928516537
pneumoniamnist,severe,442,EqualWt-Ens,0.7628205128205128,0.6781891168599465,0.1431586047013601
pneumoniamnist,severe,442,Ours-Dropout,0.8365384615384616,0.8002385286548239,0.10311801731586456
pneumoniamnist,severe,442,Abl:No CapMul,0.7852564102564102,0.7172651653479407,0.1838795819725746
pneumoniamnist,severe,442,Abl:No Conf,0.7852564102564102,0.7172651653479407,0.1878863632296905
